"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[686]",-0.12,0,0.07,-0.3,-0.15,-0.1,-0.06,-0.02,10899.93,1
"log_lik[687]",-0.12,0,0.07,-0.3,-0.15,-0.1,-0.06,-0.02,10899.93,1
"log_lik[688]",-0.12,0,0.07,-0.3,-0.15,-0.1,-0.06,-0.02,10899.93,1
"log_lik[689]",-2.32,0.01,0.64,-3.83,-2.66,-2.24,-1.88,-1.33,11831.7,1
"log_lik[690]",-0.27,0,0.12,-0.54,-0.33,-0.25,-0.18,-0.09,11331.33,1
"log_lik[691]",-0.27,0,0.12,-0.54,-0.33,-0.25,-0.18,-0.09,11331.33,1
"log_lik[692]",-0.27,0,0.12,-0.54,-0.33,-0.25,-0.18,-0.09,11331.33,1
"log_lik[693]",-0.5,0,0.18,-0.93,-0.6,-0.47,-0.36,-0.22,11823.7,1
"log_lik[694]",-0.5,0,0.18,-0.93,-0.6,-0.47,-0.36,-0.22,11823.7,1
"log_lik[695]",-2.22,0.01,0.55,-3.49,-2.52,-2.15,-1.84,-1.35,11251.88,1
"log_lik[696]",-1.74,0,0.37,-2.52,-1.97,-1.72,-1.48,-1.08,10474.36,1
"log_lik[697]",-0.74,0,0.27,-1.35,-0.9,-0.71,-0.55,-0.33,11703.96,1
"log_lik[698]",-1.62,0,0.37,-2.41,-1.85,-1.6,-1.36,-0.94,8193.39,1
"log_lik[699]",-0.74,0,0.27,-1.35,-0.9,-0.71,-0.55,-0.33,11703.96,1
"log_lik[700]",-1.83,0,0.38,-2.67,-2.06,-1.8,-1.57,-1.18,12186.63,1
"log_lik[701]",-1.55,0,0.37,-2.34,-1.79,-1.54,-1.29,-0.87,7550.98,1
"log_lik[702]",-1.55,0,0.37,-2.34,-1.79,-1.54,-1.29,-0.87,7550.98,1
"log_lik[703]",-1.92,0,0.42,-2.89,-2.17,-1.88,-1.63,-1.23,12909.24,1
"log_lik[704]",-0.84,0,0.3,-1.54,-1.02,-0.81,-0.62,-0.36,11411.63,1
"log_lik[705]",-0.67,0,0.25,-1.26,-0.81,-0.64,-0.49,-0.29,11956.39,1
