"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[42]",0.26,0,0.13,0.05,0.16,0.24,0.34,0.56,7794.42,1
"mu[43]",0.64,0,0.21,0.23,0.5,0.63,0.77,1.08,10343.79,1
"mu[44]",0.64,0,0.21,0.23,0.5,0.63,0.77,1.08,10343.79,1
"mu[45]",1.04,0,0.27,0.53,0.86,1.02,1.19,1.62,10131.28,1
"mu[46]",1.04,0,0.27,0.53,0.86,1.02,1.19,1.62,10131.28,1
"mu[47]",1.27,0,0.33,0.7,1.05,1.24,1.45,2.01,8648.58,1
"mu[48]",1.27,0,0.33,0.7,1.05,1.24,1.45,2.01,8648.58,1
"mu[49]",1.13,0,0.34,0.56,0.91,1.09,1.31,1.9,9330.05,1
"mu[50]",0.58,0,0.24,0.17,0.42,0.56,0.71,1.13,10691.16,1
"mu[51]",0.58,0,0.24,0.17,0.42,0.56,0.71,1.13,10691.16,1
"mu[52]",0.03,0,0.05,0,0,0.01,0.05,0.19,9206.92,1
"mu[53]",0.03,0,0.05,0,0,0.01,0.05,0.19,9206.92,1
"mu[54]",0.02,0,0.03,0,0,0.01,0.03,0.11,5838.23,1
"mu[55]",0.39,0,0.19,0.1,0.26,0.36,0.5,0.85,7427.46,1
"mu[56]",0.39,0,0.19,0.1,0.26,0.36,0.5,0.85,7427.46,1
"mu[57]",1.26,0,0.36,0.61,1.02,1.24,1.48,2.01,8609.85,1
"mu[58]",1.26,0,0.36,0.61,1.02,1.24,1.48,2.01,8609.85,1
"mu[59]",2.41,0.01,0.5,1.49,2.08,2.39,2.72,3.46,8889.81,1
"mu[60]",2.41,0.01,0.5,1.49,2.08,2.39,2.72,3.46,8889.81,1
